Gate OuterVoltage,Drain TotalCurrent
0,6.3513069e-21
0,7.5425097e-19
-0.005,7.5256684e-19
-0.014733333,7.4999097e-19
-0.033940444,7.4398909e-19
-0.058940444,7.4126434e-19
-0.083940444,7.3832092e-19
-0.10894044,7.3616532e-19
-0.13394044,7.3462737e-19
-0.15894044,7.3341038e-19
-0.18394044,7.3263127e-19
-0.20894044,7.3205626e-19
-0.23394044,7.3160971e-19
-0.25894044,7.3118274e-19
-0.28394044,7.3099439e-19
-0.30894044,7.3081821e-19
-0.33394044,7.3067238e-19
-0.35894044,7.3060814e-19
-0.38394044,6.5190226e-19
-0.40894044,6.5121725e-19
-0.43394044,6.5138766e-19
-0.45894044,6.5233084e-19
-0.48394044,6.5389767e-19
-0.5,7.2468255e-19
-0.45,7.30344e-19
-0.35266667,7.2620423e-19
-0.16319111,7.3328666e-19
0.086808889,8.0881875e-19
0.33680889,5.1490817e-18
0.58680889,7.1548663e-16
0.83680889,2.1479435e-13
1.0868089,9.8690391e-11
1.3368089,2.6171693e-8
1.5868089,3.178668e-7
1.8368089,1.058066e-6
2.0868089,2.2370484e-6
2.3368089,3.6083519e-6
2.5868089,5.027482e-6
2.8368089,6.4660469e-6
3.0868089,7.9147929e-6
3.3368089,9.3693981e-6
3.5868089,1.0827802e-5
3.8368089,1.2288689e-5
4.0868089,1.3751211e-5
4.3368089,1.5214795e-5
4.5,1.6170545e-5
